N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
500.000000,0.000754,0.000604,0.000144,0.000140,0.000735,0.000149,0.000080,0.000071,0.000096,0.000221,0.000506,0.000229,0.000214,0.000010,0.000005,0.000010,0.000234,0.000007,0.000005,0.000251,0.000002,0.000134
1000.000000,0.002592,0.002005,0.000273,0.000275,0.002424,0.000259,0.000113,0.000106,0.000126,0.000531,0.001613,0.000417,0.000670,0.000019,0.000007,0.000015,0.000731,0.000011,0.000006,0.000782,0.000003,0.000417
1500.000000,0.004117,0.003416,0.000343,0.000353,0.004258,0.000330,0.000129,0.000121,0.000158,0.000833,0.002884,0.000500,0.001221,0.000019,0.000008,0.000018,0.001331,0.000013,0.000007,0.001368,0.000004,0.000861
2000.000000,0.005920,0.004696,0.000391,0.000414,0.006212,0.000401,0.000152,0.000144,0.000165,0.001193,0.004407,0.000642,0.001797,0.000022,0.000010,0.000019,0.001942,0.000015,0.000008,0.002056,0.000006,0.001176
2500.000000,0.007908,0.006897,0.000454,0.000464,0.008633,0.000482,0.000171,0.000175,0.000213,0.001528,0.006073,0.000761,0.002642,0.000027,0.000010,0.000022,0.002634,0.000026,0.000008,0.002965,0.000005,0.001663
3000.000000,0.010576,0.008827,0.000514,0.000524,0.011804,0.000617,0.000191,0.000179,0.000223,0.001962,0.008528,0.000906,0.003592,0.000027,0.000013,0.000028,0.003807,0.000022,0.000011,0.004138,0.000006,0.002417
3500.000000,0.015425,0.013111,0.000615,0.000638,0.015995,0.000702,0.000255,0.000283,0.000249,0.002727,0.012098,0.001258,0.004993,0.000038,0.000023,0.000031,0.005252,0.000024,0.000012,0.005626,0.000008,0.003577
4000.000000,0.019164,0.017236,0.000734,0.000780,0.021627,0.000823,0.000254,0.000240,0.000272,0.003706,0.017201,0.001292,0.006499,0.000054,0.000019,0.000039,0.007027,0.000029,0.000014,0.007316,0.000014,0.004459
4500.000000,0.025084,0.022440,0.000823,0.000794,0.028324,0.000961,0.000350,0.000274,0.000330,0.004319,0.022263,0.001484,0.008005,0.000041,0.000021,0.000042,0.008773,0.000032,0.000017,0.009158,0.000012,0.005949
5000.000000,0.030793,0.028307,0.000926,0.000907,0.034341,0.001159,0.000345,0.000326,0.000344,0.005313,0.028526,0.001666,0.009580,0.000041,0.000024,0.000046,0.010811,0.000038,0.000019,0.011413,0.000015,0.007507
5500.000000,0.038147,0.034836,0.001111,0.001031,0.041601,0.001227,0.000344,0.000349,0.000372,0.006522,0.034125,0.001822,0.012250,0.000086,0.000024,0.000047,0.013088,0.000044,0.000018,0.014117,0.000016,0.009495
6000.000000,0.044775,0.042066,0.001134,0.001080,0.046474,0.001417,0.000391,0.000369,0.000397,0.007765,0.039788,0.002169,0.014013,0.000060,0.000024,0.000051,0.015295,0.000040,0.000020,0.017221,0.000014,0.012358
6500.000000,0.053484,0.049356,0.001267,0.001260,0.055577,0.001530,0.000415,0.000410,0.000491,0.009893,0.047257,0.002424,0.016604,0.000063,0.000029,0.000059,0.018003,0.000048,0.000024,0.022998,0.000016,0.016184
7000.000000,0.061403,0.055604,0.001375,0.001316,0.064268,0.001570,0.000400,0.000390,0.000446,0.010473,0.055629,0.002424,0.018987,0.000068,0.000031,0.000067,0.021263,0.000053,0.000025,0.031677,0.000015,0.021898
7500.000000,0.071441,0.063921,0.001495,0.001372,0.074482,0.001721,0.000505,0.000452,0.000473,0.011885,0.064531,0.002709,0.022370,0.000070,0.000031,0.000063,0.024225,0.000068,0.000025,0.038948,0.000016,0.030410
8000.000000,0.080431,0.073207,0.001607,0.001608,0.087230,0.001839,0.000512,0.000459,0.000496,0.013362,0.076532,0.002920,0.025316,0.000073,0.000033,0.000067,0.027678,0.000054,0.000025,0.050012,0.000016,0.035019
8500.000000,0.089267,0.084233,0.001659,0.001607,0.098147,0.001922,0.000514,0.000476,0.000564,0.015269,0.086573,0.003267,0.028652,0.000093,0.000035,0.000070,0.031597,0.000076,0.000027,0.062950,0.000015,0.045853
9000.000000,0.100191,0.094555,0.001756,0.001773,0.111893,0.002098,0.000558,0.000502,0.000585,0.016780,0.100232,0.003356,0.031634,0.000101,0.000036,0.000076,0.034775,0.000063,0.000029,0.075996,0.000015,0.054316
9500.000000,0.111469,0.104690,0.001988,0.001913,0.125289,0.002188,0.000534,0.000522,0.000615,0.018932,0.114228,0.003714,0.035267,0.000124,0.000037,0.000082,0.038842,0.000070,0.000031,0.083384,0.000015,0.069822
9999.000000,0.125868,0.121072,0.002113,0.001931,0.138880,0.002283,0.000565,0.000556,0.000643,0.021281,0.127479,0.003939,0.038768,0.000121,0.000040,0.000083,0.043066,0.000076,0.000031,0.092805,0.000015,0.065796
